river,year,month,water_fraction,water_pixels,total_pixels
Kaburantwa,2007,8,0.0,0,13815
Kaburantwa,2007,9,0.0,0,12150
Kaburantwa,2007,10,,0,0
Kaburantwa,2007,11,0.0,0,12085
Kaburantwa,2007,12,,0,0
Kaburantwa,2008,1,,0,0
Kaburantwa,2008,2,0.0,0,12108
Kaburantwa,2008,3,0.0,0,12239
Kaburantwa,2008,4,0.0,0,8107
Kaburantwa,2008,5,0.0,0,13692
Kaburantwa,2008,6,0.0,0,13757
Kaburantwa,2008,7,,0,0
Kaburantwa,2008,8,0.0,0,4724
Kaburantwa,2008,9,0.0,0,13844
Kaburantwa,2008,10,0.0,0,647
Kaburantwa,2008,11,,0,0
Kaburantwa,2008,12,0.0,0,12147
Kaburantwa,2009,1,0.0,0,12272
Kaburantwa,2009,2,0.0,0,9965
Kaburantwa,2009,3,0.0,0,10480
Kaburantwa,2009,4,,0,0
Kaburantwa,2009,5,,0,0
Kaburantwa,2009,6,0.0,0,13815
Kaburantwa,2009,7,0.0,0,13836
Kaburantwa,2009,8,0.0,0,12247
Kaburantwa,2009,9,0.0,0,13845
Kaburantwa,2009,10,,0,0
Kaburantwa,2009,11,0.0,0,5543
Kaburantwa,2009,12,0.0,0,12533
Kaburantwa,2010,1,0.0,0,13839
Kaburantwa,2010,2,0.0,0,13751
Kaburantwa,2010,3,,0,0
Kaburantwa,2010,4,0.0,0,11855
Kaburantwa,2010,5,0.0,0,13586
Kaburantwa,2010,6,0.0,0,12419
Kaburantwa,2010,7,0.0,0,13644
Kaburantwa,2010,8,0.0,0,13845
Kaburantwa,2010,9,0.0,0,12067
Kaburantwa,2010,10,0.0,0,12245
Kaburantwa,2010,11,0.0,0,13820
Kaburantwa,2010,12,0.0,0,13744
Kaburantwa,2011,1,0.0,0,8881
Kaburantwa,2011,2,0.0,0,12382
Kaburantwa,2011,3,0.0,0,12042
Kaburantwa,2011,4,0.0,0,13792
Kaburantwa,2011,5,,0,0
Kaburantwa,2011,6,0.0,0,12132
Kaburantwa,2011,7,0.0,0,13758
Kaburantwa,2011,8,0.0,0,13680
Kaburantwa,2011,9,0.0,0,12170
Kaburantwa,2011,10,0.0,0,12300
Kaburantwa,2011,11,0.0,0,333
Kaburantwa,2011,12,,0,0
Kaburantwa,2012,1,0.0,0,11572
Kaburantwa,2012,2,0.0,0,12718
Kaburantwa,2012,3,0.0,0,13652
Kaburantwa,2012,4,0.0,0,11295
Kaburantwa,2012,5,0.0,0,11966
Kaburantwa,2012,6,0.0,0,1302
Kaburantwa,2012,7,0.0,0,12277
Kaburantwa,2012,8,0.0,0,12376
Kaburantwa,2012,9,0.0,0,13845
Kaburantwa,2012,10,0.0,0,11863
Kaburantwa,2012,11,0.0,0,12273
Kaburantwa,2012,12,0.0,0,12210
Kaburantwa,2013,1,0.0,0,12225
Kaburantwa,2013,2,0.0,0,13279
Kaburantwa,2013,3,0.0,0,12301
Kaburantwa,2013,4,0.0,0,3218
Kaburantwa,2013,5,0.0,0,9034
Kaburantwa,2013,6,0.0,0,13845
Kaburantwa,2013,7,0.0,0,13845
Kaburantwa,2013,8,0.0,0,13845
Kaburantwa,2013,9,0.0,0,13845
Kaburantwa,2013,10,0.0,0,12288
Kaburantwa,2013,11,0.0,0,13845
Kaburantwa,2013,12,0.0,0,18
Kaburantwa,2014,1,0.0,0,13845
Kaburantwa,2014,2,0.0,0,12299
Kaburantwa,2014,3,0.0,0,12140
Kaburantwa,2014,4,0.0,0,13803
Kaburantwa,2014,5,0.0,0,13841
Kaburantwa,2014,6,0.0,0,13804
Kaburantwa,2014,7,0.0,0,13845
Kaburantwa,2014,8,0.0,0,13845
Kaburantwa,2014,9,0.0,0,13845
Kaburantwa,2014,10,0.0,0,13698
Kaburantwa,2014,11,0.0,0,13832
Kaburantwa,2014,12,0.0,0,13771
Kaburantwa,2015,1,0.0,0,13683
