river,year,month,water_fraction,water_pixels,total_pixels
Buzimba,2019,10,0.0,0,13860
Buzimba,2019,11,0.0,0,13860
Buzimba,2019,12,0.0,0,399
Buzimba,2020,1,0.0,0,13031
Buzimba,2020,2,0.0,0,13858
Buzimba,2020,3,0.0,0,4416
Buzimba,2020,4,0.0,0,9147
Buzimba,2020,5,0.0,0,13856
Buzimba,2020,6,0.0,0,13860
Buzimba,2020,7,0.0,0,13522
Buzimba,2020,8,0.0,0,13860
Buzimba,2020,9,0.0,0,13860
Buzimba,2020,10,0.0,0,13860
Buzimba,2020,11,0.0,0,6338
Buzimba,2020,12,0.000124,1,13301
Buzimba,2021,1,0.0,0,7516
Buzimba,2021,2,0.0,0,13704
Buzimba,2021,3,0.0,0,12317
Buzimba,2021,4,0.0,0,8927
Buzimba,2021,5,0.0,0,13840
Buzimba,2021,6,0.0,0,13859
Buzimba,2021,7,0.0,0,13858
Buzimba,2021,8,0.0,0,13859
Buzimba,2021,9,0.0,0,13860
Buzimba,2021,10,0.0,0,13860
Buzimba,2021,11,0.0,0,13850
Buzimba,2021,12,0.0,0,2400
Buzimba,2022,1,,0,0
Buzimba,2022,2,,0,0
Buzimba,2022,3,,0,0
Buzimba,2022,4,,0,0
Buzimba,2022,5,,0,0
Buzimba,2022,6,,0,0
Buzimba,2022,7,,0,0
Buzimba,2022,8,,0,0
Buzimba,2022,9,,0,0
Buzimba,2022,10,,0,0
Buzimba,2022,11,,0,0
Buzimba,2022,12,,0,0
Buzimba,2023,1,,0,0
Buzimba,2023,2,,0,0
Buzimba,2023,3,,0,0
Buzimba,2023,4,,0,0
Buzimba,2023,5,,0,0
Buzimba,2023,6,,0,0
Buzimba,2023,7,,0,0
Buzimba,2023,8,,0,0
Buzimba,2023,9,,0,0
Buzimba,2023,10,,0,0
Buzimba,2023,11,,0,0
Buzimba,2023,12,,0,0
Buzimba,2024,1,,0,0
Buzimba,2024,2,,0,0
Buzimba,2024,3,,0,0
Buzimba,2024,4,,0,0
Buzimba,2024,5,,0,0
Buzimba,2024,6,,0,0
Buzimba,2024,7,,0,0
Buzimba,2024,8,,0,0
Buzimba,2024,9,,0,0
Buzimba,2024,10,,0,0
Buzimba,2024,11,,0,0
Buzimba,2024,12,,0,0
Buzimba,2025,1,,0,0
Buzimba,2025,2,,0,0
Buzimba,2025,3,,0,0
Buzimba,2025,4,,0,0
Buzimba,2025,5,,0,0
Buzimba,2025,6,,0,0
Buzimba,2025,7,,0,0
Buzimba,2025,8,,0,0
Buzimba,2025,9,,0,0
Buzimba,2025,10,,0,0
Buzimba,2025,11,,0,0
Buzimba,2025,12,,0,0
