river,year,month,water_fraction,water_pixels,total_pixels
Nyengwe,1995,11,,0,0
Nyengwe,1995,12,,0,0
Nyengwe,1996,1,,0,0
Nyengwe,1996,2,0.0,0,5152
Nyengwe,1996,3,0.0,0,6301
Nyengwe,1996,4,,0,0
Nyengwe,1996,5,,0,0
Nyengwe,1996,6,0.0,0,13844
Nyengwe,1996,7,,0,0
Nyengwe,1996,8,,0,0
Nyengwe,1996,9,,0,0
Nyengwe,1996,10,,0,0
Nyengwe,1996,11,,0,0
Nyengwe,1996,12,,0,0
Nyengwe,1997,1,0.0,0,13771
Nyengwe,1997,2,,0,0
Nyengwe,1997,3,,0,0
Nyengwe,1997,4,,0,0
Nyengwe,1997,5,0.0,0,13842
Nyengwe,1997,6,0.0,0,13862
Nyengwe,1997,7,,0,0
Nyengwe,1997,8,0.0,0,13845
Nyengwe,1997,9,,0,0
Nyengwe,1997,10,,0,0
Nyengwe,1997,11,,0,0
Nyengwe,1997,12,,0,0
Nyengwe,1998,1,,0,0
Nyengwe,1998,2,,0,0
Nyengwe,1998,3,,0,0
Nyengwe,1998,4,,0,0
Nyengwe,1998,5,0.0,0,2
Nyengwe,1998,6,0.0,0,13862
Nyengwe,1998,7,0.0,0,13580
Nyengwe,1998,8,0.0,0,2504
Nyengwe,1998,9,0.0,0,13862
Nyengwe,1998,10,0.0,0,7699
Nyengwe,1998,11,0.0,0,8511
Nyengwe,1998,12,,0,0
Nyengwe,1999,1,,0,0
Nyengwe,1999,2,0.0,0,5243
Nyengwe,1999,3,,0,0
Nyengwe,1999,4,,0,0
Nyengwe,1999,5,,0,0
Nyengwe,1999,6,,0,0
Nyengwe,1999,7,0.0,0,13680
Nyengwe,1999,8,,0,0
Nyengwe,1999,9,0.0,0,13862
Nyengwe,1999,10,,0,0
Nyengwe,1999,11,,0,0
Nyengwe,1999,12,0.0,0,13448
Nyengwe,2000,1,,0,0
Nyengwe,2000,2,,0,0
Nyengwe,2000,3,0.0,0,10812
Nyengwe,2000,4,0.0,0,7388
Nyengwe,2000,5,0.0,0,13542
Nyengwe,2000,6,,0,0
Nyengwe,2000,7,,0,0
Nyengwe,2000,8,0.0,0,11485
Nyengwe,2000,9,0.0,0,13862
Nyengwe,2000,10,0.0,0,13862
Nyengwe,2000,11,,0,0
Nyengwe,2000,12,0.0,0,11227
Nyengwe,2001,1,0.0,0,11591
Nyengwe,2001,2,0.0,0,5810
Nyengwe,2001,3,0.0,0,13862
Nyengwe,2001,4,0.0,0,12950
Nyengwe,2001,5,0.0,0,13862
Nyengwe,2001,6,0.0,0,8171
Nyengwe,2001,7,0.0,0,11508
Nyengwe,2001,8,0.0,0,11737
Nyengwe,2001,9,0.0,0,13824
Nyengwe,2001,10,0.0,0,13862
Nyengwe,2001,11,0.0,0,3050
Nyengwe,2001,12,0.0,0,12202
Nyengwe,2002,1,0.0,0,13741
Nyengwe,2002,2,0.0,0,13840
Nyengwe,2002,3,0.0,0,13528
Nyengwe,2002,4,0.0,0,2610
Nyengwe,2002,5,0.0,0,12366
Nyengwe,2002,6,0.0,0,11492
Nyengwe,2002,7,0.0,0,12981
Nyengwe,2002,8,0.0,0,13862
Nyengwe,2002,9,0.0,0,13862
Nyengwe,2002,10,0.0,0,4444
Nyengwe,2002,11,0.0,0,11881
Nyengwe,2002,12,0.0,0,8538
Nyengwe,2003,1,0.0,0,13862
Nyengwe,2003,2,0.0,0,13858
Nyengwe,2003,3,0.0,0,13843
Nyengwe,2003,4,0.0,0,2123
Nyengwe,2003,5,,0,0
Nyengwe,2003,6,,0,0
Nyengwe,2003,7,0.0,0,11973
Nyengwe,2003,8,,0,0
Nyengwe,2003,9,,0,0
Nyengwe,2003,10,0.0,0,5473
Nyengwe,2003,11,0.0,0,2848
Nyengwe,2003,12,0.0,0,13552
Nyengwe,2004,1,,0,0
Nyengwe,2004,2,0.0,0,12403
Nyengwe,2004,3,,0,0
Nyengwe,2004,4,0.0,0,4558
Nyengwe,2004,5,0.0,0,13862
Nyengwe,2004,6,0.0,0,13862
Nyengwe,2004,7,0.0,0,13862
Nyengwe,2004,8,0.0,0,13862
Nyengwe,2004,9,0.0,0,13862
Nyengwe,2004,10,0.0,0,8565
Nyengwe,2004,11,0.0,0,778
Nyengwe,2004,12,,0,0
Nyengwe,2005,1,0.0,0,5580
Nyengwe,2005,2,0.0,0,10037
Nyengwe,2005,3,0.0,0,13862
Nyengwe,2005,4,0.0,0,13859
Nyengwe,2005,5,0.0,0,8095
Nyengwe,2005,6,0.0,0,13862
Nyengwe,2005,7,0.0,0,13862
Nyengwe,2005,8,0.0,0,13814
Nyengwe,2005,9,0.0,0,13862
Nyengwe,2005,10,0.0,0,13862
Nyengwe,2005,11,0.0,0,12093
Nyengwe,2005,12,0.0,0,8468
Nyengwe,2006,1,0.0,0,5994
Nyengwe,2006,2,0.0,0,8465
Nyengwe,2006,3,0.0,0,6505
Nyengwe,2006,4,0.0,0,8412
Nyengwe,2006,5,0.0,0,10241
Nyengwe,2006,6,0.0,0,13861
Nyengwe,2006,7,0.0,0,13862
Nyengwe,2006,8,0.0,0,13862
Nyengwe,2006,9,0.0,0,13862
Nyengwe,2006,10,0.0,0,8604
Nyengwe,2006,11,,0,0
Nyengwe,2006,12,,0,0
Nyengwe,2007,1,0.0,0,9942
Nyengwe,2007,2,0.0,0,9901
Nyengwe,2007,3,0.0,0,9898
Nyengwe,2007,4,0.0,0,4372
Nyengwe,2007,5,0.0,0,10116
Nyengwe,2007,6,0.0,0,13862
Nyengwe,2007,7,0.0,0,10895
Nyengwe,2007,8,0.0,0,13862
Nyengwe,2007,9,0.0,0,8401
Nyengwe,2007,10,0.0,0,8616
Nyengwe,2007,11,0.0,0,3
Nyengwe,2007,12,0.0,0,3660
Nyengwe,2008,1,0.0,0,5516
Nyengwe,2008,2,0.0,0,12892
Nyengwe,2008,3,0.0,0,8409
Nyengwe,2008,4,0.0,0,2597
Nyengwe,2008,5,0.0,0,13862
Nyengwe,2008,6,0.0,0,13295
Nyengwe,2008,7,0.0,0,13862
Nyengwe,2008,8,0.0,0,13862
Nyengwe,2008,9,0.0,0,13862
Nyengwe,2008,10,0.0,0,13137
Nyengwe,2008,11,,0,0
Nyengwe,2008,12,0.0,0,12973
Nyengwe,2009,1,0.0,0,13266
Nyengwe,2009,2,,0,0
Nyengwe,2009,3,0.0,0,11210
Nyengwe,2009,4,,0,0
Nyengwe,2009,5,0.0,0,6810
Nyengwe,2009,6,0.0,0,13862
Nyengwe,2009,7,0.0,0,13862
Nyengwe,2009,8,0.0,0,8272
Nyengwe,2009,9,0.0,0,12561
Nyengwe,2009,10,0.0,0,7952
Nyengwe,2009,11,0.0,0,7583
Nyengwe,2009,12,0.0,0,80
Nyengwe,2010,1,0.0,0,13857
Nyengwe,2010,2,0.0,0,13704
Nyengwe,2010,3,,0,0
Nyengwe,2010,4,0.0,0,7524
Nyengwe,2010,5,0.0,0,11709
Nyengwe,2010,6,0.0,0,7016
Nyengwe,2010,7,0.0,0,9628
Nyengwe,2010,8,0.0,0,13862
Nyengwe,2010,9,0.0,0,8254
Nyengwe,2010,10,0.0,0,8515
Nyengwe,2010,11,0.0,0,2043
Nyengwe,2010,12,0.0,0,5556
Nyengwe,2011,1,0.0,0,8393
Nyengwe,2011,2,0.0,0,13753
Nyengwe,2011,3,0.0,0,13862
Nyengwe,2011,4,0.0,0,13601
Nyengwe,2011,5,0.0,0,12503
Nyengwe,2011,6,0.0,0,7991
Nyengwe,2011,7,0.0,0,13862
Nyengwe,2011,8,0.0,0,12430
Nyengwe,2011,9,0.0,0,13858
Nyengwe,2011,10,0.0,0,13862
Nyengwe,2011,11,0.0,0,11114
Nyengwe,2011,12,0.0,0,1814
Nyengwe,2012,1,0.0,0,8864
Nyengwe,2012,2,0.0,0,11942
Nyengwe,2012,3,0.0,0,13626
Nyengwe,2012,4,0.0,0,11629
Nyengwe,2012,5,0.0,0,4442
Nyengwe,2012,6,0.0,0,10265
Nyengwe,2012,7,0.0,0,13413
Nyengwe,2012,8,0.0,0,9046
Nyengwe,2012,9,0.0,0,12544
Nyengwe,2012,10,0.0,0,2
Nyengwe,2012,11,0.0,0,1924
Nyengwe,2012,12,,0,0
Nyengwe,2013,1,0.0,0,7393
Nyengwe,2013,2,,0,0
Nyengwe,2013,3,0.0,0,12718
Nyengwe,2013,4,0.0,0,11548
Nyengwe,2013,5,0.0,0,13862
Nyengwe,2013,6,0.0,0,13862
Nyengwe,2013,7,0.0,0,13862
Nyengwe,2013,8,0.0,0,13862
Nyengwe,2013,9,0.0,0,13862
Nyengwe,2013,10,0.0,0,13862
Nyengwe,2013,11,0.0,0,13862
Nyengwe,2013,12,0.0,0,7461
Nyengwe,2014,1,0.0,0,8187
Nyengwe,2014,2,0.0,0,10997
Nyengwe,2014,3,0.0,0,8700
Nyengwe,2014,4,0.0,0,12119
Nyengwe,2014,5,0.0,0,13858
Nyengwe,2014,6,0.0,0,13862
Nyengwe,2014,7,0.0,0,13862
Nyengwe,2014,8,0.0,0,13859
Nyengwe,2014,9,0.0,0,13851
Nyengwe,2014,10,0.0,0,10436
Nyengwe,2014,11,0.0,0,13848
Nyengwe,2014,12,0.0,0,13824
Nyengwe,2015,1,0.0,0,13635
Nyengwe,2015,2,0.0,0,13838
Nyengwe,2015,3,0.0,0,13635
Nyengwe,2015,4,0.0,0,13244
Nyengwe,2015,5,0.0,0,10124
Nyengwe,2015,6,0.0,0,13855
Nyengwe,2015,7,0.0,0,13862
Nyengwe,2015,8,0.0,0,13862
Nyengwe,2015,9,0.0,0,13862
Nyengwe,2015,10,0.0,0,13862
Nyengwe,2015,11,0.0,0,11167
Nyengwe,2015,12,0.0,0,13731
Nyengwe,2016,1,0.0,0,4191
Nyengwe,2016,2,0.0,0,8408
Nyengwe,2016,3,0.0,0,13845
Nyengwe,2016,4,0.0,0,6838
Nyengwe,2016,5,0.0,0,13859
Nyengwe,2016,6,0.0,0,13862
Nyengwe,2016,7,0.0,0,13862
Nyengwe,2016,8,0.0,0,13862
Nyengwe,2016,9,0.0,0,13862
Nyengwe,2016,10,0.0,0,13858
Nyengwe,2016,11,0.0,0,13861
Nyengwe,2016,12,0.0,0,11138
Nyengwe,2017,1,0.0,0,13848
Nyengwe,2017,2,0.0,0,13398
Nyengwe,2017,3,7.2e-05,1,13861
Nyengwe,2017,4,7.2e-05,1,13837
Nyengwe,2017,5,7.2e-05,1,13862
Nyengwe,2017,6,0.0,0,13862
Nyengwe,2017,7,0.0,0,13862
Nyengwe,2017,8,0.0,0,13652
Nyengwe,2017,9,0.0,0,13848
Nyengwe,2017,10,0.0,0,13473
Nyengwe,2017,11,0.0,0,4199
Nyengwe,2017,12,0.0,0,13844
Nyengwe,2018,1,0.0,0,13796
Nyengwe,2018,2,0.0,0,13862
Nyengwe,2018,3,0.0,0,13845
Nyengwe,2018,4,0.0,0,584
Nyengwe,2018,5,0.0,0,13767
Nyengwe,2018,6,0.0,0,13862
Nyengwe,2018,7,0.0,0,13862
Nyengwe,2018,8,0.0,0,13862
Nyengwe,2018,9,0.0,0,13862
Nyengwe,2018,10,0.0,0,13074
Nyengwe,2018,11,0.0,0,9707
Nyengwe,2018,12,0.0,0,5847
Nyengwe,2019,1,0.0,0,13858
Nyengwe,2019,2,0.0,0,13063
Nyengwe,2019,3,0.0,0,13860
Nyengwe,2019,4,0.0,0,13848
Nyengwe,2019,5,0.0,0,13109
Nyengwe,2019,6,0.0,0,13861
Nyengwe,2019,7,0.0,0,13861
Nyengwe,2019,8,0.0,0,13862
Nyengwe,2019,9,0.0,0,13855
Nyengwe,2019,10,0.0,0,13840
Nyengwe,2019,11,0.0,0,13847
Nyengwe,2019,12,0.0,0,2675
Nyengwe,2020,1,0.0,0,12909
Nyengwe,2020,2,0.0,0,13849
Nyengwe,2020,3,0.0,0,8147
Nyengwe,2020,4,0.0,0,13858
Nyengwe,2020,5,0.0,0,13859
Nyengwe,2020,6,0.0,0,13862
Nyengwe,2020,7,0.0,0,13862
Nyengwe,2020,8,0.0,0,13862
Nyengwe,2020,9,0.0,0,13862
Nyengwe,2020,10,0.0,0,13657
Nyengwe,2020,11,0.0,0,12165
Nyengwe,2020,12,7.5e-05,1,13373
Nyengwe,2021,1,0.0,0,7956
Nyengwe,2021,2,0.0,0,11877
Nyengwe,2021,3,0.0,0,13764
Nyengwe,2021,4,0.0,0,6833
Nyengwe,2021,5,0.0,0,13845
Nyengwe,2021,6,0.0,0,13861
Nyengwe,2021,7,0.0,0,13861
Nyengwe,2021,8,0.0,0,13862
Nyengwe,2021,9,0.0,0,13862
Nyengwe,2021,10,0.0,0,13862
Nyengwe,2021,11,0.0,0,13856
Nyengwe,2021,12,0.0,0,13187
Nyengwe,2022,1,,0,0
Nyengwe,2022,2,,0,0
Nyengwe,2022,3,,0,0
Nyengwe,2022,4,,0,0
Nyengwe,2022,5,,0,0
