date,river,raw_water_level
2023-10-01,Mutimbuzi,1.230967741935484
2023-11-01,Mutimbuzi,1.456333333333333
2023-12-01,Mutimbuzi,1.609354838709678
2024-01-01,Mutimbuzi,1.8641935483870968
2024-02-01,Mutimbuzi,
2024-03-01,Mutimbuzi,
2024-04-01,Mutimbuzi,
2024-05-01,Mutimbuzi,
2024-06-01,Mutimbuzi,
2024-07-01,Mutimbuzi,
2024-08-01,Mutimbuzi,2.291290322580646
2024-09-01,Mutimbuzi,2.0960000000000005
2024-10-01,Mutimbuzi,2.0580645161290323
2024-11-01,Mutimbuzi,2.059
