river,year,month,water_level,runoff,temp_max_observed,temp_min_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean,temp_max_imputed,temp_min_imputed,precip_bias_factor,precip_imputed,ndvi,water_level_imputed_v2,wl_imputed_v2,water_level_m
Nyamagana,2000,7,,,31.032560000000046,13.92935,0.0020855429527565,MPARAMBO,MPARAMBO,grid_m3.00_29.25,22.08058174731184,13.92935,31.032560000000046,0.0009536743,0.5009699175519221,1.1427176479973118,9.240950416666692,101349.6599327957,True,True,2.186850324850525,True,0.3364734338743754,0.5977795026881716,True,770.908
Mutimbuzi,2000,7,,1.46,29.6258064516129,17.116129032258065,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.45066997311829,14.573880000000033,32.01302000000004,0.0,0.9371730839583334,1.7486996204438574,10.601289045698934,101327.66279569893,False,False,1.5476478434872514,False,0.4354739693377175,0.7418945256211114,True,770.908
Nyamagana,2000,8,,,31.66915,14.83578,0.5693532345437932,MPARAMBO,MPARAMBO,grid_m3.00_29.25,22.77563545698928,14.83578,31.66915,0.26035308776,0.7837776259334678,1.04692729955327,9.491998575268838,101352.6937701613,True,True,2.186850324850525,True,0.2926036338542485,0.683490376344086,True,770.778
Mutimbuzi,2000,8,,1.58,30.19354838709678,18.487096774193542,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.045300483871017,15.05453,32.63595000000004,0.23365021268,1.2089052106169356,1.5841836823103492,10.834616559139818,101329.36481182797,False,False,1.5476478434872514,False,0.3760933971069925,0.7887701710922546,True,770.778
Mulembwe,2000,8,0.4838709677419358,1.01,21.987096774193542,8.18709677419355,0.8,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.937424368279608,16.766700000000014,25.7004,59.98110757804,0.2365521651836021,0.5495892189931452,16.049329569892507,101402.00661962366,False,False,0.3376177859350189,False,0.3583284927023225,0.4838709677419358,False,770.778
Nyengwe,2000,8,,0.44,30.916129032258063,16.606451612903225,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.192810927419373,21.04406,25.839140000000043,23.68998514818,0.963701390725336,0.1593632449548387,16.284276532258104,101329.05701612904,False,False,0.3658537084356579,False,0.4447310237997754,0.6206798506898181,True,770.778
Rusizi,2000,8,,,30.19354838709678,18.487096774193542,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,24.045300483871017,15.05453,32.63595000000004,0.23365021268,1.2089052106169356,1.5841836823103492,10.834616559139818,101329.36481182797,False,False,1.5043629271954442,False,0.3973298481059595,2.268299999999998,True,770.778
Buzimba,2000,8,1.5364516129032262,1.01,30.916129032258063,16.606451612903225,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.937424368279608,16.766700000000014,25.7004,59.98110757804,0.2365521651836021,0.5495892189931452,16.049329569892507,101402.00661962366,False,False,0.2550133648657899,False,0.4047389703009275,1.5364516129032262,False,770.778
Kaburantwa,2000,8,,0.08,31.66915,14.83578,0.5748110756209869,MPARAMBO,MPARAMBO,grid_m3.00_29.25,22.77563545698928,14.83578,31.66915,0.26035308776,0.7837776259334678,1.04692729955327,9.491998575268838,101352.6937701613,True,True,2.207813552612297,True,0.4164566893762484,1.442570429382052,True,770.778
Nyakagunda,2000,8,,,28.72970000000004,13.753750000000023,0.9470451784751424,MPARAMBO,MPARAMBO,grid_m2.75_29.00,20.310311545698937,13.753750000000023,28.72970000000004,0.47445297238,-1.3365220095933548,1.1748254846364248,8.921221075268818,101428.56981182795,True,True,1.9960780806672505,True,0.3215684003488215,0.3885501075268823,True,770.778
Jiji,2000,8,0.3938709677419354,,21.987096774193542,8.18709677419355,0.8,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.75,20.231852741935484,14.865080000000034,27.190500000000043,13.6151313691,-0.7577617194818548,1.1164732492724505,10.550794274193606,101486.24483870968,False,False,0.7469623692808592,False,0.532601171059413,0.3938709677419354,False,770.778
Mutimbuzi,2000,9,,9.64,31.916666666666668,19.68,2.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,25.36590519444445,17.144600000000025,34.19036,0.4024505614,1.5477070696666668,1.4529808897359722,9.503570791666675,101078.19753472222,False,False,1.5476478434872514,False,0.384172933299567,1.2130612220401673,True,770.534
Rusizi,2000,9,,,31.916666666666668,19.68,2.5,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,25.36590519444445,17.144600000000025,34.19036,0.4024505614,1.5477070696666668,1.4529808897359722,9.503570791666675,101078.19753472222,False,False,1.5043629271954442,False,0.380184636250339,2.4498000000000006,True,770.534
Nyakagunda,2000,9,,,29.79910000000001,13.413100000000044,2.409016430640557,MPARAMBO,MPARAMBO,grid_m2.75_29.00,21.47186212500003,13.413100000000044,29.79910000000001,1.20687484822,-1.0549391437361666,1.1498694534736806,8.117486750000012,101198.5775625,True,True,1.9960780806672505,True,0.3390282071698035,0.386178064516129,True,770.534
